query_id,query,candidate_text,candidate_type,similarity_score,positive,is_positive
0,How can blood donation centers collaborate with local healthcare providers and hospitals to optimize blood utilization practices and minimize unnecessary transfusions?,How can blood donation centers collaborate with local healthcare providers and hospitals to optimize blood utilization practices and minimize unnecessary transfusions?,question,1.0000001192092896,"Collaboration may involve implementing evidence-based transfusion guidelines, conducting regular audits of transfusion practices, and providing education and feedback to clinicians to promote judicious use of blood products.",False
0,How can blood donation centers collaborate with local healthcare providers and hospitals to optimize blood utilization practices and minimize unnecessary transfusions?,How can blood donation centers collaborate with local healthcare providers and medical professionals to promote blood donation as an integral part of patient care and treatment?,question,0.9124607443809509,"Collaboration may involve implementing evidence-based transfusion guidelines, conducting regular audits of transfusion practices, and providing education and feedback to clinicians to promote judicious use of blood products.",False
0,How can blood donation centers collaborate with local healthcare providers and hospitals to optimize blood utilization practices and minimize unnecessary transfusions?,How can blood donation centers collaborate with healthcare providers and institutions to prioritize blood transfusion therapy for patients in need?,question,0.9082658290863037,"Collaboration may involve implementing evidence-based transfusion guidelines, conducting regular audits of transfusion practices, and providing education and feedback to clinicians to promote judicious use of blood products.",False
0,How can blood donation centers collaborate with local healthcare providers and hospitals to optimize blood utilization practices and minimize unnecessary transfusions?,How can blood donation centers collaborate with public health agencies and community health workers to prioritize donation as a public health intervention and preventive measure for addressing blood shortages and improving population health outcomes?,question,0.8943738341331482,"Collaboration may involve implementing evidence-based transfusion guidelines, conducting regular audits of transfusion practices, and providing education and feedback to clinicians to promote judicious use of blood products.",False
0,How can blood donation centers collaborate with local healthcare providers and hospitals to optimize blood utilization practices and minimize unnecessary transfusions?,How do blood donation centers collaborate with healthcare providers and medical professionals to promote blood donation as an essential component of patient care and treatment?,question,0.8939831852912903,"Collaboration may involve implementing evidence-based transfusion guidelines, conducting regular audits of transfusion practices, and providing education and feedback to clinicians to promote judicious use of blood products.",False
0,How can blood donation centers collaborate with local healthcare providers and hospitals to optimize blood utilization practices and minimize unnecessary transfusions?,How do blood donation centers collaborate with healthcare providers and facilities to ensure appropriate utilization of blood products?,question,0.8918836116790771,"Collaboration may involve implementing evidence-based transfusion guidelines, conducting regular audits of transfusion practices, and providing education and feedback to clinicians to promote judicious use of blood products.",False
0,How can blood donation centers collaborate with local healthcare providers and hospitals to optimize blood utilization practices and minimize unnecessary transfusions?,How do blood donation centers collaborate with other healthcare facilities and organizations to address the broader healthcare needs of donors and recipients?,question,0.8879560828208923,"Collaboration may involve implementing evidence-based transfusion guidelines, conducting regular audits of transfusion practices, and providing education and feedback to clinicians to promote judicious use of blood products.",False
0,How can blood donation centers collaborate with local healthcare providers and hospitals to optimize blood utilization practices and minimize unnecessary transfusions?,How do blood donation centers collaborate with community health clinics and outpatient facilities to promote blood donation among patients and caregivers?,question,0.8845630288124084,"Collaboration may involve implementing evidence-based transfusion guidelines, conducting regular audits of transfusion practices, and providing education and feedback to clinicians to promote judicious use of blood products.",False
0,How can blood donation centers collaborate with local healthcare providers and hospitals to optimize blood utilization practices and minimize unnecessary transfusions?,How can blood donation centers partner with healthcare providers and medical professionals to promote donation as an essential component of patient care and treatment?,question,0.8828523755073547,"Collaboration may involve implementing evidence-based transfusion guidelines, conducting regular audits of transfusion practices, and providing education and feedback to clinicians to promote judicious use of blood products.",False
0,How can blood donation centers collaborate with local healthcare providers and hospitals to optimize blood utilization practices and minimize unnecessary transfusions?,How do blood donation centers collaborate with research institutions and medical professionals to advance transfusion medicine and improve patient outcomes?,question,0.8810418844223022,"Collaboration may involve implementing evidence-based transfusion guidelines, conducting regular audits of transfusion practices, and providing education and feedback to clinicians to promote judicious use of blood products.",False
